Gait Up - Physilog data export
Created on: 2020-07-20 10:37:32
Total data points: 10837

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[],[],[],[],[],
67.34375,3.35693,-3.75366,-1.49536,-0.14150,-0.41547,0.90241,,-0.63859,-0.27353,-0.37202,-0.61562,
67.35156,3.60107,-3.75366,-1.55640,-0.14175,-0.41400,0.90680,,-0.63870,-0.27378,-0.37201,-0.61541,
67.35938,3.23486,-3.72314,-1.55640,-0.13635,-0.41326,0.90753,,-0.63881,-0.27401,-0.37199,-0.61520,
67.36719,3.17383,-3.75366,-1.52588,-0.13512,-0.41498,0.90753,,-0.63893,-0.27424,-0.37196,-0.61499,
67.37500,2.77710,-3.54004,-1.52588,-0.12507,-0.41179,0.90728,,-0.63904,-0.27444,-0.37193,-0.61480,
67.38281,2.41089,-3.11279,-1.34277,-0.13218,-0.41154,0.91166,,-0.63915,-0.27461,-0.37189,-0.61463,
67.39063,2.34985,-3.14331,-1.28174,-0.13414,-0.41032,0.90996,,-0.63926,-0.27479,-0.37185,-0.61447,
67.39844,2.07520,-2.92969,-1.28174,-0.13856,-0.41032,0.90972,,-0.63936,-0.27494,-0.37181,-0.61432,
67.40625,1.77002,-2.89917,-1.19019,-0.13341,-0.41179,0.90607,,-0.63947,-0.27508,-0.37176,-0.61418,
67.41406,1.64795,-2.77710,-1.09863,-0.13709,-0.41032,0.90753,,-0.63957,-0.27521,-0.37170,-0.61404,
67.42188,1.34277,-2.77710,-1.06812,-0.14027,-0.41105,0.90728,,-0.63967,-0.27533,-0.37163,-0.61392,
67.42969,1.09863,-2.77710,-0.91553,-0.14175,-0.41326,0.90874,,-0.63978,-0.27544,-0.37155,-0.61381,
67.43750,1.15967,-2.86865,-1.00708,-0.14420,-0.41351,0.90339,,-0.63989,-0.27556,-0.37147,-0.61370,
67.44531,1.22070,-3.02124,-1.22070,-0.14371,-0.41988,0.90071,,-0.64001,-0.27568,-0.37139,-0.61357,
67.45313,1.37329,-2.99072,-1.25122,-0.14420,-0.41547,0.90509,,-0.64013,-0.27580,-0.37131,-0.61343,
67.46094,1.49536,-3.23486,-1.28174,-0.14371,-0.41571,0.90436,,-0.64025,-0.27594,-0.37123,-0.61329,
67.46875,1.67847,-3.44849,-1.43433,-0.14616,-0.41767,0.90168,,-0.64038,-0.27610,-0.37116,-0.61313,
67.47656,2.10571,-3.66211,-1.52588,-0.14126,-0.41866,0.90412,,-0.64051,-0.27627,-0.37109,-0.61295,
67.48438,2.07520,-3.78418,-1.52588,-0.13929,-0.41866,0.90461,,-0.64065,-0.27646,-0.37101,-0.61277,
67.49219,2.28882,-3.81470,-1.43433,-0.13905,-0.41522,0.90339,,-0.64078,-0.27665,-0.37095,-0.61259,
67.50000,2.22778,-3.78418,-1.55640,-0.14175,-0.41302,0.90996,,-0.64092,-0.27684,-0.37088,-0.61240,
67.50781,2.22778,-3.93677,-1.58691,-0.14027,-0.41105,0.90485,,-0.64105,-0.27703,-0.37081,-0.61221,
67.51563,1.98364,-3.87573,-1.58691,-0.13856,-0.41277,0.90461,,-0.64120,-0.27721,-0.37072,-0.61203,
67.52344,2.01416,-3.90625,-1.55640,-0.13610,-0.41620,0.90753,,-0.64134,-0.27739,-0.37064,-0.61185,
67.53125,1.89209,-3.69263,-1.49536,-0.13512,-0.41596,0.90728,,-0.64148,-0.27757,-0.37056,-0.61168,
67.53906,1.67847,-3.63159,-1.31226,-0.13684,-0.41866,0.90826,,-0.64161,-0.27773,-0.37048,-0.61152,
67.54688,1.64795,-3.44849,-1.03760,-0.12752,-0.41915,0.90412,,-0.64172,-0.27789,-0.37039,-0.61138,
67.55469,1.77002,-3.41797,-1.09863,-0.13537,-0.42331,0.90753,,-0.64184,-0.27805,-0.37031,-0.61123,
67.56250,1.92261,-3.41797,-0.79346,-0.14175,-0.41669,0.90387,,-0.64193,-0.27823,-0.37023,-0.61109,
67.57031,2.13623,-3.41797,-0.79346,-0.14322,-0.42160,0.90387,,-0.64203,-0.27842,-0.37016,-0.61095,
67.57813,2.31934,-3.57056,-0.76294,-0.13929,-0.42184,0.90266,,-0.64212,-0.27862,-0.37009,-0.61080,
67.58594,2.71606,-3.47900,-0.73242,-0.14469,-0.41743,0.90436,,-0.64221,-0.27884,-0.37004,-0.61065,
67.59375,2.92969,-3.84521,-0.82397,-0.14273,-0.41424,0.90168,,-0.64230,-0.27908,-0.36999,-0.61047,
67.60156,3.02124,-3.81470,-0.94604,-0.14616,-0.41449,0.89803,,-0.64239,-0.27932,-0.36994,-0.61029,
67.60938,3.26538,-4.02832,-1.22070,-0.15254,-0.40811,0.90631,,-0.64250,-0.27957,-0.36990,-0.61009,
67.61719,3.17383,-4.24194,-1.40381,-0.14395,-0.41498,0.90436,,-0.64262,-0.27982,-0.36985,-0.60988,
67.62500,3.23486,-4.33350,-1.49536,-0.13978,-0.41253,0.90461,,-0.64275,-0.28007,-0.36980,-0.60966,
67.63281,3.05176,-4.11987,-1.46484,-0.13537,-0.41007,0.90339,,-0.64287,-0.28031,-0.36975,-0.60945,
67.64063,3.11279,-4.18091,-1.43433,-0.13954,-0.41326,0.90728,,-0.64299,-0.28056,-0.36970,-0.60924,
67.64844,3.02124,-4.24194,-1.52588,-0.13512,-0.41130,0.90241,,-0.64312,-0.28080,-0.36964,-0.60903,
67.65625,2.89917,-3.99780,-1.40381,-0.13782,-0.41253,0.90387,,-0.64324,-0.28103,-0.36959,-0.60883,
67.66406,2.96021,-4.05884,-1.34277,-0.13463,-0.41130,0.90436,,-0.64336,-0.28127,-0.36954,-0.60863,
67.67188,2.89917,-3.93677,-1.43433,-0.13758,-0.41253,0.90412,,-0.64347,-0.28149,-0.36949,-0.60843,
67.67969,2.92969,-3.90625,-1.25122,-0.13856,-0.41498,0.90534,,-0.64358,-0.28172,-0.36944,-0.60823,
67.68750,2.99072,-3.93677,-1.12915,-0.14346,-0.41277,0.90509,,-0.64369,-0.28196,-0.36939,-0.60804,
67.69531,2.96021,-3.96729,-1.09863,-0.13856,-0.41007,0.90582,,-0.64379,-0.28220,-0.36933,-0.60785,
67.70313,2.80762,-3.99780,-1.22070,-0.13954,-0.41253,0.90753,,-0.64391,-0.28243,-0.36927,-0.60766,
67.71094,2.62451,-3.87573,-1.31226,-0.13880,-0.40909,0.90972,,-0.64402,-0.28264,-0.36921,-0.60748,
67.71875,2.53296,-3.90625,-1.34277,-0.13635,-0.40689,0.91069,,-0.64415,-0.28285,-0.36915,-0.60729,
67.72656,2.22778,-3.66211,-1.34277,-0.13610,-0.40934,0.91020,,-0.64427,-0.28304,-0.36908,-0.60711,
67.73438,1.92261,-3.63159,-1.40381,-0.13561,-0.40762,0.91215,,-0.64440,-0.28321,-0.36900,-0.60695,
67.74219,1.77002,-3.60107,-1.31226,-0.13414,-0.41032,0.90923,,-0.64452,-0.28338,-0.36892,-0.60678,
67.75000,1.55640,-3.50952,-1.15967,-0.13880,-0.40958,0.90826,,-0.64464,-0.28353,-0.36883,-0.60664,
67.75781,1.49536,-3.57056,-1.22070,-0.13880,-0.41130,0.90509,,-0.64477,-0.28369,-0.36873,-0.60649,
67.76563,1.49536,-3.50952,-1.22070,-0.14027,-0.41203,0.90607,,-0.64490,-0.28384,-0.36864,-0.60634,
67.77344,1.49536,-3.50952,-1.15967,-0.14739,-0.41277,0.90728,,-0.64502,-0.28399,-0.36855,-0.60619,
67.78125,1.55640,-3.72314,-1.22070,-0.14518,-0.41179,0.90217,,-0.64515,-0.28415,-0.36845,-0.60604,
67.78906,1.67847,-3.78418,-1.28174,-0.14101,-0.41179,0.90266,,-0.64528,-0.28432,-0.36835,-0.60588,
67.79688,1.86157,-3.90625,-1.31226,-0.14077,-0.41571,0.90363,,-0.64542,-0.28450,-0.36826,-0.60571,
67.80469,1.89209,-3.93677,-1.46484,-0.14322,-0.41522,0.90534,,-0.64555,-0.28468,-0.36817,-0.60553,
67.81250,2.01416,-4.08936,-1.40381,-0.14027,-0.41375,0.90436,,-0.64569,-0.28488,-0.36807,-0.60535,
67.82031,2.28882,-4.05884,-1.46484,-0.13782,-0.41498,0.90461,,-0.64583,-0.28508,-0.36799,-0.60516,
67.82813,2.41089,-4.08936,-1.43433,-0.13709,-0.41326,0.90412,,-0.64596,-0.28529,-0.36792,-0.60497,
67.83594,2.50244,-4.11987,-1.40381,-0.13880,-0.41669,0.90314,,-0.64609,-0.28551,-0.36784,-0.60477,
67.84375,2.62451,-4.08936,-1.34277,-0.13733,-0.41915,0.90387,,-0.64621,-0.28573,-0.36777,-0.60458,
67.85156,2.77710,-4.18091,-1.25122,-0.13807,-0.41743,0.90363,,-0.64633,-0.28596,-0.36770,-0.60438,
67.85938,2.92969,-4.08936,-1.28174,-0.13929,-0.41277,0.90534,,-0.64644,-0.28620,-0.36765,-0.60418,
67.86719,2.92969,-4.15039,-1.25122,-0.13905,-0.41375,0.90193,,-0.64656,-0.28644,-0.36758,-0.60399,
67.87500,3.05176,-4.18091,-1.19019,-0.13978,-0.41351,0.90436,,-0.64667,-0.28669,-0.36753,-0.60379,
67.88281,3.11279,-4.08936,-1.15967,-0.13856,-0.40909,0.90753,,-0.64677,-0.28694,-0.36747,-0.60359,
67.89063,2.96021,-4.05884,-1.06812,-0.13512,-0.41400,0.90777,,-0.64688,-0.28718,-0.36741,-0.60340,
67.89844,2.77710,-3.96729,-1.06812,-0.13144,-0.41449,0.90874,,-0.64698,-0.28741,-0.36735,-0.60321,
67.90625,2.68555,-3.69263,-0.97656,-0.13512,-0.41228,0.90704,,-0.64708,-0.28763,-0.36729,-0.60304,
67.91406,2.77710,-3.57056,-0.76294,-0.13660,-0.41596,0.90850,,-0.64716,-0.28785,-0.36724,-0.60288,
67.92188,2.65503,-3.69263,-0.76294,-0.13709,-0.41203,0.90753,,-0.64725,-0.28807,-0.36718,-0.60272,
67.92969,2.71606,-3.69263,-0.64087,-0.13267,-0.41056,0.91142,,-0.64733,-0.28830,-0.36711,-0.60256,
67.93750,2.56348,-3.35693,-0.67139,-0.13684,-0.41056,0.90680,,-0.64741,-0.28850,-0.36706,-0.60241,
67.94531,2.56348,-3.38745,-0.67139,-0.13929,-0.40836,0.90874,,-0.64749,-0.28871,-0.36701,-0.60226,
67.95313,2.44141,-3.54004,-0.82397,-0.14003,-0.41105,0.90826,,-0.64758,-0.28891,-0.36694,-0.60210,
67.96094,2.44141,-3.54004,-0.73242,-0.13782,-0.41154,0.90582,,-0.64766,-0.28912,-0.36688,-0.60195,
67.96875,2.47192,-3.50952,-0.64087,-0.14077,-0.40762,0.90582,,-0.64774,-0.28933,-0.36681,-0.60180,
67.97656,2.34985,-3.54004,-0.76294,-0.14052,-0.40860,0.90728,,-0.64783,-0.28953,-0.36674,-0.60165,
67.98438,2.22778,-3.54004,-0.79346,-0.13856,-0.40958,0.90607,,-0.64793,-0.28972,-0.36667,-0.60150,
67.99219,2.19727,-3.44849,-0.70190,-0.13954,-0.41203,0.90607,,-0.64802,-0.28991,-0.36660,-0.60136,
68.00000,2.13623,-3.60107,-0.97656,-0.14543,-0.40762,0.90850,,-0.64812,-0.29010,-0.36652,-0.60120,
68.00781,1.98364,-3.72314,-1.00708,-0.14003,-0.40958,0.90558,,-0.64823,-0.29029,-0.36644,-0.60104,
68.01563,1.92261,-3.81470,-1.09863,-0.13782,-0.41032,0.90558,,-0.64835,-0.29047,-0.36635,-0.60088,
68.02344,1.98364,-3.75366,-1.09863,-0.13758,-0.40983,0.90582,,-0.64847,-0.29066,-0.36626,-0.60072,
68.03125,1.89209,-3.78418,-1.15967,-0.14027,-0.41007,0.90899,,-0.64859,-0.29084,-0.36617,-0.60056,
68.03906,1.89209,-3.87573,-1.19019,-0.13512,-0.41081,0.90972,,-0.64871,-0.29102,-0.36607,-0.60039,
68.04688,1.89209,-3.54004,-1.06812,-0.14027,-0.41081,0.92116,,-0.64882,-0.29120,-0.36599,-0.60024,
68.05469,1.95313,-3.57056,-0.88501,-0.14714,-0.40909,0.90996,,-0.64892,-0.29138,-0.36591,-0.60009,
68.06250,1.86157,-3.78418,-0.94604,-0.14052,-0.41302,0.90607,,-0.64904,-0.29156,-0.36581,-0.59994,
68.07031,1.89209,-3.84521,-0.94604,-0.13880,-0.41302,0.90558,,-0.64915,-0.29175,-0.36572,-0.59978,
68.07813,1.89209,-3.78418,-0.85449,-0.13880,-0.41203,0.90509,,-0.64926,-0.29194,-0.36562,-0.59963,
68.08594,1.92261,-3.84521,-0.88501,-0.13807,-0.41326,0.90777,,-0.64937,-0.29213,-0.36552,-0.59948,
68.09375,1.77002,-3.63159,-0.70190,-0.13292,-0.41203,0.90558,,-0.64947,-0.29231,-0.36542,-0.59934,
68.10156,1.64795,-3.66211,-0.48828,-0.14150,-0.41105,0.90753,,-0.64956,-0.29249,-0.36532,-0.59922,
68.10938,1.64795,-3.50952,-0.70190,-0.15156,-0.40983,0.90314,,-0.64966,-0.29266,-0.36522,-0.59909,
68.11719,1.77002,-3.50952,-0.73242,-0.14150,-0.41007,0.90704,,-0.64976,-0.29284,-0.36513,-0.59895,
68.12500,1.98364,-3.66211,-0.82397,-0.14371,-0.41792,0.90314,,-0.64986,-0.29302,-0.36504,-0.59880,
68.13281,2.13623,-3.60107,-0.88501,-0.14150,-0.41547,0.90290,,-0.64996,-0.29321,-0.36496,-0.59865,
68.14063,2.44141,-3.60107,-0.88501,-0.14420,-0.41302,0.90193,,-0.65006,-0.29342,-0.36489,-0.59849,
68.14844,2.59399,-3.78418,-1.15967,-0.14665,-0.41571,0.90363,,-0.65016,-0.29363,-0.36483,-0.59830,
68.15625,2.77710,-3.90625,-1.15967,-0.14592,-0.41277,0.90363,,-0.65027,-0.29385,-0.36477,-0.59812,
68.16406,3.02124,-3.96729,-1.06812,-0.13586,-0.41056,0.90534,,-0.65036,-0.29409,-0.36472,-0.59793,
68.17188,2.99072,-3.84521,-0.97656,-0.13390,-0.40983,0.90728,,-0.65046,-0.29433,-0.36467,-0.59774,
